epoch,acc,loss,val_acc,val_loss
0,0.789663436016,1.83715897933,0.852870997537,1.62082928331
1,0.923737620088,1.40496739422,0.834693563399,1.68934592975
2,0.94674782085,1.31792492984,0.905181706264,1.45749421651
3,0.962865565256,1.25475465005,0.894825993335,1.50532382622
4,0.973660212448,1.20259470123,0.846281182667,1.67392755421
0,0.972896740408,1.23104304498,0.935498768473,1.34707138192
1,0.981507009098,1.20519565994,0.9367878042,1.34548111897
2,0.984539689894,1.18926958889,0.933746535318,1.35719720833
3,0.987360295209,1.1781906819,0.934862950471,1.35582544222
4,0.989714334189,1.16832953822,0.933169079205,1.36254901092
5,0.991389731197,1.16119680485,0.933438558816,1.36366414569
0,0.98526074693,1.18853222214,0.936191502463,1.35060418357
1,0.986660445783,1.18613787738,0.936672313088,1.34863910434
2,0.98708459695,1.18429592248,0.936518324662,1.34964749216
3,0.986787691081,1.1835605319,0.935748383233,1.35181033564
4,0.987932899233,1.18249842008,0.935863874437,1.35132564785
0,0.984985048681,1.18689932517,0.932920258621,1.36130648264
1,0.988993277204,1.16901536936,0.932784108463,1.36235236152
2,0.992450109219,1.15620915399,0.930166307471,1.37702102238
